game_id,shot_id,player_id,x_start,y_start,x,y,y0,outcome
4,1,player 2,22,25,13,42,12,NoGoal
4,2,player 5,33,30,15,32,2,NoGoal
4,3,player 1,3,34,23,22,8,NoGoal
4,4,player 3,17,36,17,27,3,NoGoal
4,5,player 5,22,39,6,33,3,NoGoal
4,6,player 1,28,36,19,20,10,NoGoal
4,7,player 1,13,9,11,21,9,NoGoal
4,8,player 5,33,37,20,44,14,NoGoal
4,9,player 3,14,40,14,43,13,NoGoal
4,10,player 3,6,44,10,37,7,NoGoal
4,11,player 1,12,27,19,32,2,NoGoal
4,12,player 5,18,33,19,29,1,NoGoal
4,13,player 4,25,33,5,39,9,NoGoal
4,14,player 5,28,53,14,34,4,NoGoal
4,15,player 1,29,30,7,32,2,Goal
4,16,player 5,36,53,11,38,8,NoGoal
4,17,player 3,39,29,8,31,1,Goal
4,18,player 3,9,33,17,29,1,NoGoal
4,19,player 5,21,44,13,31,1,NoGoal
4,20,player 4,27,19,16,39,9,Goal
4,21,player 2,25,25,23,26,4,NoGoal
4,22,player 3,28,31,22,24,6,NoGoal
4,23,player 2,10,34,5,19,11,NoGoal
4,24,player 5,13,38,11,25,5,Goal
4,25,player 2,16,42,17,29,1,Goal
4,26,player 1,19,46,13,16,14,NoGoal
